Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,61.410000,61.880001,61.020000,61.490002,58.843155,1647600
2016-04-04,61.529999,62.130001,61.189999,61.400002,58.757019,1184300
2016-04-05,61.130001,61.320000,60.330002,60.669998,58.058445,1625300
2016-04-06,60.540001,61.060001,60.290001,61.009998,58.383808,1314500
2016-04-07,60.779999,61.029999,59.950001,60.200001,57.608685,1177300
2016-04-08,60.540001,60.540001,59.389999,59.720001,57.149338,1321300
2016-04-11,59.790001,60.160000,59.360001,59.500000,56.938812,1361500
2016-04-12,59.459999,60.060001,59.220001,59.709999,57.139767,1084600
2016-04-13,59.919998,60.000000,59.410000,59.799999,57.225891,840300
2016-04-14,59.680000,60.259998,59.290001,60.029999,57.445999,1051800
2016-04-15,60.000000,60.110001,59.680000,60.090000,57.503418,714800
2016-04-18,59.919998,61.090000,59.860001,60.880001,58.259411,1066100
2016-04-19,61.060001,61.250000,60.810001,61.029999,58.402943,994300
2016-04-20,61.099998,61.459999,60.590000,61.270000,58.632618,720000
2016-04-21,61.340000,61.520000,60.259998,60.540001,57.934036,1041000
2016-04-22,60.700001,61.000000,60.189999,60.720001,58.106293,1230100
2016-04-25,60.790001,61.310001,60.700001,61.110001,58.479504,1061700
2016-04-26,61.259998,61.410000,60.459999,60.580002,57.972317,988000
2016-04-27,60.560001,61.099998,59.930000,60.950001,58.326397,922700
2016-04-28,60.730000,61.230000,60.119999,60.330002,57.733089,997200
2016-04-29,59.970001,60.150002,59.080002,59.599998,57.034500,1234300
2016-05-02,59.779999,60.610001,59.450001,60.250000,57.656525,1107500
2016-05-03,59.830002,60.270000,59.459999,59.970001,57.388584,971700
2016-05-04,59.660000,60.029999,59.259998,59.869999,57.292881,1059900
2016-05-05,59.959999,61.119999,59.910000,60.490002,57.886200,1859000
2016-05-06,61.500000,62.000000,60.599998,61.750000,59.091957,3166300
2016-05-09,61.560001,61.950001,60.439999,60.520000,57.914902,1645200
2016-05-10,60.779999,61.320000,60.709999,61.320000,58.680470,1337400
2016-05-11,61.150002,62.040001,61.150002,61.880001,59.216358,1788600
2016-05-12,62.230000,62.230000,61.270000,61.900002,59.235497,1561300
2016-05-13,61.810001,61.959999,61.090000,61.160000,58.527351,1067700
2016-05-16,61.070000,62.580002,60.990002,62.259998,59.579990,1591600
2016-05-17,62.189999,62.459999,60.450001,60.700001,58.087166,2006400
2016-05-18,60.459999,61.220001,60.080002,61.070000,58.441223,1638800
2016-05-19,60.619999,61.040001,59.910000,60.310001,57.713943,1287300
2016-05-20,60.660000,61.439999,60.380001,60.959999,58.335964,3627000
2016-05-23,60.980000,61.320000,60.330002,60.360001,57.761795,1446300
2016-05-24,60.540001,61.820000,60.529999,61.730000,59.072811,1135500
2016-05-25,61.939999,62.150002,61.700001,61.770000,59.111107,1114700
2016-05-26,61.669998,61.990002,61.450001,61.720001,59.063248,1070800
2016-05-27,63.040001,63.040001,61.869999,62.470001,59.780979,1322200
2016-05-31,62.689999,62.689999,61.849998,62.160000,59.484306,1670900
2016-06-01,62.160000,62.919998,61.959999,62.480000,59.790527,1398800
2016-06-02,62.209999,63.020000,62.209999,63.000000,60.288162,1013500
2016-06-03,62.849998,62.950001,62.410000,62.650002,59.953213,803700
2016-06-06,62.639999,62.970001,62.470001,62.750000,60.048916,843700
2016-06-07,62.840000,63.200001,62.669998,62.790001,60.087196,1005900
2016-06-08,62.580002,64.360001,62.369999,64.339996,61.570469,1673900
2016-06-09,64.040001,64.589996,63.840000,64.430000,61.656597,965900
2016-06-10,64.120003,64.250000,63.410000,63.610001,60.871899,1215600
2016-06-13,64.220001,65.830002,64.129997,64.730003,61.943668,2703700
2016-06-14,64.410004,64.550003,63.700001,64.279999,61.513054,1387100
2016-06-15,64.300003,64.519997,63.290001,63.330002,60.603947,1266000
2016-06-16,63.200001,63.570000,62.490002,63.500000,60.766628,1763300
2016-06-17,63.139999,63.470001,62.500000,63.209999,60.489113,6418700
2016-06-20,63.990002,64.419998,63.310001,63.320000,60.594379,1815500
2016-06-21,63.330002,63.669998,63.020000,63.400002,60.670948,1257300
2016-06-22,63.459999,63.750000,63.290001,63.470001,60.812740,1023500
2016-06-23,63.900002,64.839996,63.549999,64.209999,61.521763,2059500
2016-06-24,62.389999,63.080002,61.270000,61.299999,58.733585,7121600
2016-06-27,60.700001,61.290001,58.840000,59.360001,56.874805,2268500
2016-06-28,59.799999,60.549999,59.410000,60.549999,58.014988,1810200
2016-06-29,60.560001,61.560001,60.080002,61.459999,58.886890,1695500
2016-06-30,61.720001,62.049999,61.360001,62.040001,59.442623,1642700
2016-07-01,62.150002,62.419998,61.840000,62.330002,59.720470,1370700
2016-07-05,62.180000,62.470001,61.450001,62.150002,59.548008,1394900
2016-07-06,62.000000,62.869999,61.549999,62.740002,60.113308,1630400
2016-07-07,62.580002,62.820000,62.029999,62.500000,59.883354,1156500
2016-07-08,63.160000,63.439999,62.560001,63.389999,60.736095,1428200
2016-07-11,63.450001,63.900002,63.310001,63.740002,61.071442,986500
2016-07-12,64.139999,64.400002,63.070000,63.130001,60.486984,1384100
2016-07-13,63.220001,63.700001,62.860001,62.980000,60.343258,1359600
2016-07-14,63.529999,63.750000,63.189999,63.259998,60.611538,1077400
2016-07-15,63.669998,63.750000,62.889999,62.959999,60.324097,998000
2016-07-18,63.020000,63.220001,62.389999,62.770000,60.142056,944800
2016-07-19,62.709999,62.860001,62.490002,62.810001,60.180367,633400
2016-07-20,63.049999,63.470001,62.990002,63.230000,60.582787,826700
2016-07-21,63.070000,63.450001,62.290001,62.470001,59.854618,643500
2016-07-22,62.709999,62.830002,62.320000,62.730000,60.103718,886400
2016-07-25,62.709999,62.939999,62.290001,62.450001,59.835449,505200
2016-07-26,62.480000,63.090000,62.200001,63.070000,60.429485,741100
2016-07-27,63.070000,63.259998,62.509998,62.590000,59.969589,1112900
2016-07-28,62.599998,63.360001,62.590000,63.099998,60.458221,743700
2016-07-29,63.230000,64.180000,63.230000,64.040001,61.358883,2190200
2016-08-01,64.000000,64.489998,63.730000,64.230003,61.540924,1823700
2016-08-02,64.199997,64.750000,63.700001,64.629997,61.924175,2281600
2016-08-03,64.470001,65.160004,64.029999,65.139999,62.412811,1782100
2016-08-04,64.889999,64.900002,63.220001,63.689999,61.023540,2605400
2016-08-05,64.080002,64.540001,61.959999,61.990002,59.394699,1886000
2016-08-08,61.889999,62.169998,60.740002,60.900002,58.350334,2145600
2016-08-09,60.740002,61.200001,60.450001,61.130001,58.570705,1190300
2016-08-10,61.160000,61.549999,60.840000,61.259998,58.695263,844400
2016-08-11,61.459999,61.610001,60.970001,61.439999,58.867725,1008900
2016-08-12,60.939999,61.419998,60.830002,61.020000,58.465305,802100
2016-08-15,61.150002,61.459999,60.880001,60.970001,58.417404,814200
2016-08-16,60.939999,60.939999,60.090000,60.090000,57.574249,972800
2016-08-17,59.930000,60.080002,59.470001,59.720001,57.219738,1481100
2016-08-18,59.750000,60.169998,59.610001,60.009998,57.497604,1029500
2016-08-19,59.880001,60.810001,59.509998,60.770000,58.225777,1335600
2016-08-22,60.810001,60.820000,59.930000,60.470001,57.938335,988500
2016-08-23,60.549999,60.759998,60.070000,60.209999,57.689228,1196200
2016-08-24,60.200001,60.369999,59.910000,59.970001,57.459278,1262000
2016-08-25,60.000000,60.939999,59.509998,60.779999,58.235367,1901800
2016-08-26,60.410000,61.590000,60.410000,61.360001,58.791077,2031500
2016-08-29,61.490002,62.029999,61.459999,61.869999,59.279720,983600
2016-08-30,61.779999,61.900002,61.270000,61.500000,58.925209,816700
2016-08-31,61.500000,61.680000,61.150002,61.459999,58.886890,1059500
2016-09-01,61.639999,61.900002,61.119999,61.650002,59.068947,994800
2016-09-02,62.980000,62.980000,61.320000,61.700001,59.116840,872600
2016-09-06,61.639999,61.660000,60.869999,61.200001,58.637772,1258900
2016-09-07,61.110001,61.490002,60.889999,61.130001,58.570705,1008000
2016-09-08,61.080002,61.470001,60.310001,60.349998,57.823364,1155400
2016-09-09,59.860001,60.299999,59.020000,59.029999,56.558624,1327300
2016-09-12,59.980000,60.840000,59.130001,60.779999,58.235367,1371900
2016-09-13,60.160000,60.380001,59.290001,59.380001,56.893963,929500
2016-09-14,59.279999,59.830002,58.930000,59.230000,56.750256,1475000
2016-09-15,58.970001,60.349998,58.970001,60.029999,57.516762,1043500
2016-09-16,60.099998,60.150002,59.240002,59.630001,57.133503,1827800
2016-09-19,59.959999,60.299999,59.639999,59.720001,57.219738,1266600
2016-09-20,59.939999,60.080002,59.439999,59.570000,57.076015,1126100
2016-09-21,59.759998,60.180000,59.340000,59.889999,57.382622,1487300
2016-09-22,59.990002,60.099998,59.110001,60.009998,57.497604,2068700
2016-09-23,60.110001,60.360001,59.349998,59.360001,56.874805,1749100
2016-09-26,59.020000,59.099998,58.570000,58.830002,56.367001,1624500
2016-09-27,58.889999,59.610001,58.750000,59.549999,57.056862,927900
2016-09-28,59.419998,59.660000,59.049999,59.639999,57.218040,1053100
2016-09-29,59.360001,59.619999,58.759998,59.099998,56.699966,1646600
2016-09-30,59.360001,59.660000,59.009998,59.430000,57.016556,1505800
2016-10-03,59.070000,59.669998,58.599998,59.040001,56.642403,1681800
2016-10-04,58.980000,59.439999,58.570000,58.900002,56.508083,1502700
2016-10-05,58.910000,59.119999,58.740002,58.939999,56.546455,1286900
2016-10-06,58.709999,59.110001,58.259998,59.080002,56.680779,1449800
2016-10-07,59.330002,59.770000,59.000000,59.669998,57.246811,1351200
2016-10-10,59.930000,60.270000,59.730000,59.790001,57.361938,789600
2016-10-11,59.650002,59.650002,57.650002,57.889999,55.539101,1334500
2016-10-12,57.900002,57.959999,57.590000,57.799999,55.452755,1133100
2016-10-13,57.439999,57.869999,57.020000,57.820000,55.471943,1797600
2016-10-14,58.209999,58.900002,57.980000,58.700001,56.316204,2110400
2016-10-17,58.590000,59.020000,58.279999,58.330002,55.961231,1697200
2016-10-18,58.919998,59.470001,58.820000,59.060001,56.661587,1061500
2016-10-19,59.099998,59.590000,58.669998,59.410000,56.997372,1193800
2016-10-20,59.200001,59.980000,58.630001,59.049999,56.651997,1264600
2016-10-21,58.630001,58.630001,57.840000,58.299999,55.932442,994400
2016-10-24,58.639999,58.759998,57.880001,57.980000,55.625450,802600
2016-10-25,58.090000,58.090000,56.700001,56.759998,54.454987,1721200
2016-10-26,56.470001,56.610001,55.590000,55.849998,53.581940,1524100
2016-10-27,56.090000,56.189999,55.389999,55.830002,53.562767,1172100
2016-10-28,55.619999,57.650002,55.619999,57.049999,54.733219,2109500
2016-10-31,56.930000,57.720001,56.220001,57.570000,55.232094,2059900
2016-11-01,58.630001,59.580002,57.820000,58.400002,56.028389,2461000
2016-11-02,58.650002,60.610001,58.650002,59.740002,57.313972,2665000
